0	0	0	0
1	0	1692	0
2	18	4584	0
3	49	6169	0
4	202	6705	0
5	401	6623	0
6	749	6203	0
7	1216	5424	0
8	1634	4951	0
9	2057	4259	0
10	2333	3626	0
11	2450	3148	0
12	2605	2687	0
13	2818	2231	0
14	2679	1873	0
15	2673	1710	0
16	2635	1426	0
17	2643	1254	0
18	2548	1083	0
19	2478	918	0
20	2355	834	0
21	2344	711	0
22	2164	597	0
23	2131	494	0
24	2003	498	0
25	1882	440	0
26	1780	355	0
27	1647	349	0
28	1615	315	9
29	1520	265	48
30	1461	284	11
31	1433	193	16
32	1306	198	5
33	1198	170	188
34	1089	163	307
35	1009	140	374
36	1024	116	353
37	940	104	355
38	867	80	333
39	796	84	369
40	802	65	366
41	703	51	353
42	660	44	370
43	630	35	354
44	605	20	360
45	530	9	382
46	500	13	374
47	483	13	360
48	449	4	357
49	431	7	1684
50	354	1	48463
51	333	0	15863
52	307	0	386
53	293	0	258
54	294	0	216
55	265	0	205
56	227	0	167
57	215	0	90
58	177	0	30
59	197	0	10
60	172	0	7
61	166	0	8
62	140	0	4
63	148	0	6
64	128	0	3
65	124	0	3
66	108	0	5
67	94	0	4
68	88	0	9
69	68	0	3
70	106	0	5
71	77	0	8
72	64	0	4
73	55	0	1
74	54	0	2
75	53	0	3
76	43	0	6
77	44	0	5
78	34	0	7
79	36	0	6
80	28	0	4
81	34	0	3
82	19	0	4
83	23	0	2
84	15	0	1
85	19	0	2
86	18	0	4
87	9	0	5
88	10	0	5
89	10	0	5
90	9	0	2
91	5	0	1
92	8	0	3
93	2	0	3
94	0	0	2
95	0	0	0
96	0	0	3
97	0	0	3
98	0	0	3
99	0	0	0
