0	3832	0	35866	0
1	3832	0	35124	0
2	3832	0	34590	0
3	3832	0	34301	0
4	3832	0	33672	0
5	3832	0	33405	0
6	3832	0	32816	0
7	3832	0	32181	0
8	3832	0	31821	0
9	3832	0	31133	0
10	3832	0	30779	0
11	3832	0	30050	0
12	3832	0	29274	0
13	3832	0	28891	0
14	3832	0	28125	0
15	3832	0	27739	386
16	3832	0	26965	1160
17	3832	0	26527	1598
18	3832	0	25628	2497
19	3832	0	24707	3418
20	3832	0	24280	3845
21	3832	0	23330	4795
22	3832	0	22842	5283
23	3832	0	21862	6263
24	3832	0	20831	7294
25	3832	0	20303	7822
26	3832	0	19197	8928
27	3832	0	18631	9494
28	3832	0	17467	10658
29	3832	0	16069	12056
30	3832	0	15335	12790
31	3832	0	13984	14141
32	3832	0	13326	14799
33	3832	0	11956	16169
34	3832	0	10723	17402
35	3832	0	10159	17966
36	3832	0	9080	19045
37	3832	0	8600	19525
38	3832	0	7645	20480
39	3832	0	7192	20933
40	3832	0	6363	21762
41	3832	0	5572	22553
42	3832	0	5213	22912
43	3832	0	4480	23645
44	3832	0	4142	23983
45	3832	0	3538	24587
46	3832	0	2997	25128
47	3832	0	2727	25398
48	3832	0	2189	25936
49	3832	0	1934	26191
50	3832	0	1548	26577
51	3832	0	1170	26955
52	3832	0	1002	27123
53	3832	0	671	27454
54	3832	0	508	27617
55	3832	0	194	27931
56	3791	41	0	28125
57	3791	41	0	28125
58	3744	88	0	28125
59	3688	144	0	28125
60	3602	230	0	28125
61	3520	312	0	28125
62	3520	312	0	28125
63	3409	423	0	28125
64	3244	588	0	28125
65	0	3832	0	28125
