0	0	0	0
1	5	446	0
2	61	1368	0
3	314	1947	0
4	868	2283	0
5	1497	2625	0
6	2127	2635	0
7	2595	2549	0
8	2682	2518	0
9	2760	2350	0
10	2612	2242	0
11	2649	2066	0
12	2446	1887	0
13	2294	1740	0
14	2052	1615	0
15	1873	1532	0
16	1668	1358	0
17	1465	1187	0
18	1381	1158	0
19	1251	1034	0
20	1141	929	0
21	1005	841	0
22	911	765	0
23	799	719	0
24	736	684	0
25	655	647	0
26	599	547	0
27	515	472	0
28	468	482	1
29	431	392	27
30	423	383	11
31	378	356	9
32	321	308	12
33	273	291	255
34	273	260	340
35	228	256	349
36	202	220	404
37	214	171	389
38	202	142	449
39	151	140	401
40	150	120	475
41	130	99	425
42	118	72	390
43	121	73	414
44	91	46	393
45	96	40	418
46	92	35	392
47	81	21	412
48	65	14	434
49	65	7	1128
50	42	2	26092
51	57	0	8624
52	46	0	393
53	33	0	300
54	45	0	265
55	39	0	244
56	31	0	217
57	31	0	98
58	26	0	42
59	19	0	8
60	18	0	6
61	16	0	7
62	13	0	5
63	14	0	4
64	22	0	9
65	8	0	17
66	8	0	4
67	7	0	12
68	15	0	9
69	8	0	8
70	7	0	5
71	5	0	6
72	3	0	3
73	4	0	7
74	3	0	7
75	3	0	6
76	2	0	5
77	2	0	8
78	4	0	6
79	1	0	4
80	1	0	8
81	0	0	4
82	2	0	1
83	2	0	1
84	1	0	4
85	0	0	4
86	0	0	4
87	1	0	3
88	0	0	3
89	0	0	2
90	1	0	5
91	0	0	4
92	0	0	2
93	0	0	3
94	0	0	3
95	0	0	1
96	0	0	2
97	0	0	0
98	0	0	6
99	0	0	2
