0	0	0	41	0	0
1	0	0	0	17	0
2	4	0	2	41	0
3	4	0	0	80	0
4	24	0	0	81	0
5	33	0	0	123	0
6	70	0	0	123	0
7	114	0	0	113	0
8	148	0	0	137	0
9	174	0	2	134	0
10	195	0	0	151	0
11	199	0	1	147	0
12	235	0	0	129	0
13	198	0	0	149	0
14	198	0	0	143	3
15	208	0	0	116	5
16	205	0	2	125	2
17	185	0	0	124	4
18	152	0	2	98	5
19	160	0	0	106	3
20	146	0	2	87	2
21	148	0	1	99	4
22	115	0	0	105	4
23	122	0	2	79	5
24	105	0	1	93	2
25	98	0	3	80	4
26	70	0	1	85	4
27	77	0	2	62	7
28	66	0	2	59	5
29	75	0	2	56	5
30	50	0	4	61	3
31	59	0	3	54	4
32	55	0	5	45	3
33	53	0	3	68	5
34	36	0	5	46	5
35	38	0	13	59	3
36	25	0	10	43	3
37	34	0	14	39	5
38	28	0	20	44	5
39	30	0	26	33	2
40	18	0	23	28	7
41	15	0	29	38	8
42	14	0	33	31	1
43	24	0	59	27	4
44	19	0	72	31	3
45	11	0	88	30	8
46	8	0	91	25	7
47	9	0	110	28	3
48	10	0	123	16	3
49	8	0	157	23	1
50	8	0	162	27	1
51	8	0	188	25	2
52	10	0	211	20	1
53	4	0	216	25	9
54	4	0	246	24	3
55	6	0	244	19	4
56	9	0	206	17	3
57	5	0	198	15	2
58	5	0	157	17	4
59	4	0	173	18	3
60	4	0	110	12	5
61	3	0	107	14	4
62	3	0	101	8	4
63	3	0	65	8	7
64	1	0	67	17	2
65	1	0	42	11	5
66	2	0	39	10	5
67	1	0	37	10	5
68	0	0	24	12	2
69	2	0	27	15	3
70	1	0	26	7	3
71	1	0	20	7	2
72	0	0	9	8	1
73	0	0	11	11	2
74	0	0	10	6	4
75	1	0	5	9	6
76	1	0	9	10	5
77	0	0	6	6	5
78	0	0	7	4	4
79	0	0	2	8	8
80	1	0	3	3	6
81	0	0	1	5	1
82	1	0	0	10	5
83	0	0	2	3	3
84	0	0	1	1	1
85	0	0	2	2	3
86	0	0	1	2	2
87	0	0	1	5	3
88	0	0	1	2	3
89	0	0	0	3	7
90	1	0	1	2	11
91	0	0	2	3	2
92	0	0	0	2	2
93	0	0	1	1	2
94	0	0	0	1	4
95	0	0	0	3	1
96	0	0	0	3	8
97	0	0	0	0	8
98	0	0	1	0	2
99	0	0	1	0	3
