0	5304	0
1	4876	378
2	4497	757
3	4088	1166
4	3675	1579
5	3274	1980
6	2805	2449
7	2339	2915
8	1908	3346
9	1848	3406
10	1777	3477
11	1713	3541
12	1713	3541
13	1652	3602
14	1582	3672
15	1516	3738
16	1429	3825
17	1429	3825
18	1317	3937
19	1193	4061
20	1012	4242
21	1012	4242
22	241	5013
23	0	5254
24	0	5254
25	0	5254
26	0	5254
27	0	5254
28	0	5254
