0	0	0	0
1	1	534	0
2	11	1462	0
3	60	2067	0
4	185	2340	0
5	394	2450	0
6	742	2372	0
7	958	2333	0
8	1363	2163	0
9	1511	1952	0
10	1673	1748	0
11	1711	1516	0
12	1640	1358	0
13	1712	1243	0
14	1519	1117	0
15	1439	1016	0
16	1389	833	0
17	1326	733	0
18	1220	674	0
19	1106	614	0
20	1029	522	0
21	998	485	0
22	871	425	0
23	849	356	0
24	769	335	0
25	702	296	0
26	658	269	0
27	601	239	0
28	524	215	2
29	493	192	22
30	477	195	6
31	442	169	8
32	418	157	8
33	367	149	131
34	352	122	231
35	290	114	242
36	270	113	262
37	285	67	212
38	229	70	233
39	217	52	234
40	218	51	216
41	184	51	243
42	153	24	225
43	143	18	229
44	153	19	227
45	149	17	204
46	121	8	221
47	111	5	212
48	106	2	200
49	88	3	720
50	81	0	21359
51	71	0	6855
52	72	0	185
53	62	0	131
54	63	0	85
55	73	0	81
56	49	0	60
57	44	0	33
58	49	0	13
59	46	0	4
60	51	0	4
61	29	0	5
62	34	0	6
63	34	0	5
64	28	0	3
65	22	0	0
66	16	0	4
67	35	0	1
68	17	0	5
69	20	0	3
70	7	0	7
71	12	0	3
72	10	0	5
73	15	0	5
74	11	0	3
75	9	0	4
76	9	0	4
77	8	0	4
78	6	0	5
79	8	0	5
80	7	0	3
81	6	0	0
82	7	0	6
83	4	0	1
84	4	0	0
85	4	0	2
86	5	0	2
87	1	0	1
88	0	0	3
89	2	0	2
90	2	0	3
91	3	0	1
92	2	0	3
93	0	0	1
94	0	0	0
95	0	0	2
96	0	0	2
97	0	0	0
98	0	0	1
99	0	0	3
